title,company,location,salary,link,experience,education,description
高資產客戶帳務主管,康儲資產顧問有限公司,,"月薪40,000元以上",https://www.104.com.tw/job/14371167,,,
銓知投資-證券暨產業研究員,銓知投資股份有限公司,,"月薪50,000元以上",https://www.104.com.tw/job/12223950,,,
資安部（資深）經理,復華證券投資信託股份有限公司,,待遇面議,https://www.104.com.tw/job/14468488,,,
資訊技術客服( 職代 ),億力資訊股份有限公司,,"月薪50,000~60,000元",https://www.104.com.tw/job/14364762,,,
資深資訊安全工程師,新加坡商第一線資訊科技有限公司,,待遇面議,https://www.104.com.tw/job/14466783,,,
DBA 資料庫管理師-視訊/線上面談,104人力銀行_一零四資訊科技股份有限公司,,"月薪60,000元以上",https://www.104.com.tw/job/9019518,,,
(周休二日，穩定職涯發展，達標即享月獎金！)全台內勤客戶服務顧問(高雄),正航資訊股份有限公司,,"月薪31,000~40,000元",https://www.104.com.tw/job/13925033,,,
人資資深專員【人資處】,三井資訊股份有限公司,,"月薪30,000~40,000元",https://www.104.com.tw/job/14442621,,,
資訊部-MIS人員,元大證券投資信託股份有限公司,,待遇面議,https://www.104.com.tw/job/13749278,,,
雲端資安管理工程師,數聯資安股份有限公司,,待遇面議,https://www.104.com.tw/job/4908309,,,
專案行政助理-資安領域(ISS10),資拓宏宇國際股份有限公司,,"月薪35,000元以上",https://www.104.com.tw/job/14634619,,,
人資,Kuen Chaang Uppertech Corp._堃昶股份有限公司,,待遇面議,https://www.104.com.tw/job/14634524,,,
資訊專員 (應屆畢業生可),保德信證券投資信託股份有限公司,,待遇面議,https://www.104.com.tw/job/14115291,,,
【資安所】資安測試工程師,資策會_財團法人資訊工業策進會,,"月薪35,000~55,000元",https://www.104.com.tw/job/14160831,,,
資安工程師,統一資訊股份有限公司,,待遇面議,https://www.104.com.tw/job/6591923,,,
資訊服務工程師(高雄),巨耀資訊顧問有限公司,,"月薪32,000~40,000元",https://www.104.com.tw/job/13998875,,,
薪酬管理主任/資深專員 C&amp;B Supervisor/Senior Specialist,PChome Online_網路家庭國際資訊(股)公司,,待遇面議,https://www.104.com.tw/job/13327516,,,
資深會計(25022501),叡揚資訊股份有限公司,,待遇面議,https://www.104.com.tw/job/14505939,,,
Java工程師 (一年以上專案開發經驗),精誠資訊股份有限公司,,待遇面議,https://www.104.com.tw/job/14575195,,,
人資助理,智慧森林數位有限公司,,"月薪32,000~35,000元",https://www.104.com.tw/job/13770294,,,
【資安所】國際資安專案經理,資策會_財團法人資訊工業策進會,,待遇面議,https://www.104.com.tw/job/14597197,,,
東宜資訊-人資招募專員,東宜資訊股份有限公司,,"月薪35,000~40,000元",https://www.104.com.tw/job/14616716,,,
